_time,"Driver 1, total kWH","Driver 2, total kWH","Driver 5, total kWH","Driver 1, avg kWH per session","Driver 2, avg kWH per session","Driver 5, avg kWH per session","Fleet, total kWH","Fleet, avg kWH per session"
2021-01,402.7,160.0,152.78,50.3375,32.0,38.195,715.48,42.08705882352941
2021-02,327.6,91.1,115.2,40.95,22.775,28.8,533.9,33.36875
2021-03,430.88,44.94,114.66999999999999,30.777142857142856,14.979999999999999,38.22333333333333,590.49,29.5245
2021-04,527.0,244.5,239.66,37.642857142857146,20.375,39.943333333333335,1011.16,31.59875
2021-05,423.36,162.94,171.882,42.336,20.3675,28.647000000000002,758.182,31.59091666666667
2021-06,483.454,120.27000000000001,190.219,28.438470588235294,17.181428571428572,12.681266666666666,793.943,20.35751282051282
2021-07,492.588,69.66999999999999,183.55,35.18485714285715,34.834999999999994,8.74047619047619,745.808,20.156972972972973
2021-08,197.01,0.0,47.18,39.402,0.0,7.863333333333333,244.19,22.19909090909091
2021-09,155.49,60.230000000000004,0.0,38.8725,20.076666666666668,0.0,215.72,30.81714285714286
2021-10,366.456,180.64000000000001,44.57,36.6456,25.805714285714288,44.57,591.666,32.870333333333335
2021-11,478.096,215.66,187.648,34.14971428571429,23.962222222222223,31.274666666666665,881.404,30.393241379310346
2021-12,358.27,264.33,287.64,39.80777777777777,18.880714285714284,35.955,910.24,29.36258064516129
2021,4642.904,1614.28,1734.999,36.55829921259843,21.814594594594595,21.6874875,7992.183,28.441932384341637
